Applied Potential(V),Measured Current(A)
1.2809949999999999,1.6909936e-08
1.291003,1.5031054e-08
1.301011,1.6909936e-08
1.311019,1.6909936e-08
1.321026,1.7849378e-08
1.331034,1.5970495000000002e-08
1.3410419999999998,1.5031054e-08
1.3510499999999999,1.5970495000000002e-08
1.361057,1.5031054e-08
1.371065,1.8788818000000002e-08
1.381073,1.6909936e-08
1.391081,1.5031054e-08
1.401089,1.5970495000000002e-08
1.411096,1.7849378e-08
1.421104,1.8788818000000002e-08
1.431112,1.7849378e-08
1.44112,1.7849378e-08
1.4511269999999998,1.6909936e-08
1.4611349999999999,1.6909936e-08
1.4711429999999999,1.8788818000000002e-08
1.4811509999999999,1.6909936e-08
1.491159,1.8788818000000002e-08
1.501166,1.7849378e-08
1.511174,1.7849378e-08
1.521182,1.7849378e-08
1.5311899999999998,1.8788818000000002e-08
1.541197,1.8788818000000002e-08
1.551205,1.8788818000000002e-08
1.561213,1.6909936e-08
1.571221,1.9728258000000003e-08
1.581229,1.8788818000000002e-08
1.5912359999999999,1.9728258000000003e-08
1.601244,1.8788818000000002e-08
1.611252,1.7849378e-08
1.62126,1.6909936e-08
1.631267,1.7849378e-08
1.6412749999999998,1.8788818000000002e-08
1.6512829999999998,1.6909936e-08
1.6612909999999999,1.5031054e-08
1.6712989999999999,1.6909936e-08
1.681306,1.5031054e-08
1.691314,1.6909936e-08
1.701322,1.6909936e-08
1.71133,1.7849378e-08
1.721337,1.5970495000000002e-08
1.731345,1.5970495000000002e-08
1.741353,1.7849378e-08
1.751361,1.6909936e-08
1.761369,1.6909936e-08
1.7713759999999998,1.6909936e-08
1.7813839999999999,1.6909936e-08
1.7913919999999999,1.6909936e-08
1.8014,1.6909936e-08
1.811407,1.7849378e-08
1.821415,1.7849378e-08
1.831423,1.8788818000000002e-08
1.8414309999999998,1.8788818000000002e-08
1.8514389999999998,1.6909936e-08
1.861446,1.8788818000000002e-08
1.871454,1.7849378e-08
1.881462,1.8788818000000002e-08
1.89147,1.8788818000000002e-08
1.9014769999999999,1.9728258000000003e-08
1.9114849999999999,1.8788818000000002e-08
1.921493,1.7849378e-08
1.931501,1.6909936e-08
1.941509,1.9728258000000003e-08
1.9515159999999998,1.7849378e-08
1.9615239999999998,1.7849378e-08
